"","definition","animate","overlap_count","image_count","word_count","totalneighbors","overlapratio","comp_prod","prop_kids"
"1","apple","inanimate",1,2,5,6,0.166666666666667,"comprehension",0.400909090909091
"2","baby","animate",0,5,4,9,0,"comprehension",0.628181818181818
"3","ball","inanimate",0,4,2,6,0,"comprehension",0.753636363636364
"4","bear","animate",2,4,7,9,0.222222222222222,"comprehension",0.362727272727273
"5","block","inanimate",0,6,3,9,0,"comprehension",0.394545454545455
"6","book","inanimate",0,4,5,9,0,"comprehension",0.702727272727273
"7","bottle","inanimate",2,3,5,6,0.333333333333333,"comprehension",0.716363636363636
"8","car","inanimate",1,1,2,2,0.5,"comprehension",0.630909090909091
"9","cat","animate",0,3,3,6,0,"comprehension",0.575454545454545
"10","chair","inanimate",0,3,4,7,0,"comprehension",0.431818181818182
"11","cow","animate",2,6,5,9,0.222222222222222,"comprehension",0.361818181818182
"12","cup","inanimate",1,3,5,7,0.142857142857143,"comprehension",0.595454545454545
"13","dog","animate",0,2,2,4,0,"comprehension",0.72
"14","duck","animate",1,2,6,7,0.142857142857143,"comprehension",0.46
"15","egg","inanimate",0,2,5,7,0,"comprehension",0.213636363636364
"16","elephant","animate",2,5,5,8,0.25,"comprehension",0.212727272727273
"17","fish","animate",2,5,5,8,0.25,"comprehension",0.373636363636364
"18","frog","animate",1,5,6,10,0.1,"comprehension",0.210909090909091
"19","giraffe","animate",3,5,5,7,0.428571428571429,"comprehension",0.122727272727273
"20","milk","inanimate",1,1,5,5,0.2,"comprehension",0.581818181818182
"21","monkey","animate",3,6,5,8,0.375,"comprehension",0.245454545454545
"22","pig","animate",1,4,5,8,0.125,"comprehension",0.312727272727273
"23","puppy","animate",0,5,3,8,0,"comprehension",0.409090909090909
"24","spoon","inanimate",0,3,5,8,0,"comprehension",0.484545454545455
"25","train","inanimate",1,2,3,4,0.25,"comprehension",0.252727272727273
"26","truck","inanimate",1,1,2,2,0.5,"comprehension",0.372727272727273
"27","water","inanimate",1,2,3,4,0.25,"comprehension",0.498181818181818
"28","apple","inanimate",1,2,5,6,0.166666666666667,"production",0.776
"29","baby","animate",0,5,4,9,0,"production",0.848
"30","ball","inanimate",0,4,2,6,0,"production",0.936666666666667
"31","bear","animate",2,4,7,9,0.222222222222222,"production",0.701333333333333
"32","block","inanimate",0,6,3,9,0,"production",0.597333333333333
"33","book","inanimate",0,4,5,9,0,"production",0.836666666666667
"34","bottle","inanimate",2,3,5,6,0.333333333333333,"production",0.688
"35","car","inanimate",1,1,2,2,0.5,"production",0.814666666666667
"36","cat","animate",0,3,3,6,0,"production",0.765333333333333
"37","chair","inanimate",0,3,4,7,0,"production",0.648666666666667
"38","cow","animate",2,6,5,9,0.222222222222222,"production",0.680666666666667
"39","cup","inanimate",1,3,5,7,0.142857142857143,"production",0.714666666666667
"40","dog","animate",0,2,2,4,0,"production",0.882
"41","duck","animate",1,2,6,7,0.142857142857143,"production",0.788
"42","egg","inanimate",0,2,5,7,0,"production",0.578
"43","elephant","animate",2,5,5,8,0.25,"production",0.544
"44","fish","animate",2,5,5,8,0.25,"production",0.734
"45","frog","animate",1,5,6,10,0.1,"production",0.574666666666667
"46","giraffe","animate",3,5,5,7,0.428571428571429,"production",0.45
"47","milk","inanimate",1,1,5,5,0.2,"production",0.774666666666667
"48","monkey","animate",3,6,5,8,0.375,"production",0.613333333333333
"49","pig","animate",1,4,5,8,0.125,"production",0.642666666666667
"50","puppy","animate",0,5,3,8,0,"production",0.63
"51","spoon","inanimate",0,3,5,8,0,"production",0.688666666666667
"52","train","inanimate",1,2,3,4,0.25,"production",0.639333333333333
"53","truck","inanimate",1,1,2,2,0.5,"production",0.733333333333333
"54","water","inanimate",1,2,3,4,0.25,"production",0.724666666666667
